fā             [fa]           "láb; lép"
fānn           [fan]          "lépés"
foa            [faa]          "fordul"
fyī            [fi]           "szőr"
fīdh           [fitha]
fei            [fii]          "puha"
fȳ             [fu]           "tojás"
wào            [fà]           "valaki gyereke"
fyái           [fá]           "pénisz"
fyẙ            [fì]           "dönt, választ"
fǐnn           [fìn]          "választott"
fìe            [fìi]          "visz, akar"
fyê            [fí]           "meleg"
féa            [fía]          "lélek, életerő"
féya           [fíia]         "meleg"
wuo            [fù]           "ürülék"
wúo            [fú]           "üt"
mā             [ma]           "kéz"
myī            [mi]           "hírnév, hatalom"
myào           [mà]           "jó"
mèo            [màu]          "elégedettség"
myǎng          [màng]         "igen"
myǎ            [màa]          "jóllakottság, béke"
mái            [má]           "család"
myẙ            [mì]           "porc"
mìa            [mìa]          "rugalmas"
myê            [mí]           "szopik; tej"
méi            [míi]          "testvér"
mū             [mu]           "valaki"
màu            [mù]           "nagy állat, úr, antróp"
mòi            [mùi]          "ragadozó"
mô             [mú]           "ül"
móu            [múu]          "tyúk"
nā             [na]           "öl"
ngā            [nga]          "hát"
ghānn          [ngan]         "hegy"
ghī            [ngi]          "alszik; gömb"
ghio           [ngiu]         "összetekeredik"
ghū            [ngu]          "béka"
ghào           [ngà]          "harap"
ái             [ngá]          "nyal"
ngẙ            [ngì]          "máj"
ngìa           [ngìa]         "finom"
ngǐnn          [ngìn]         "orvosság"
ngê            [ngí]          "*én"
éa             [ngía]         "én"
ngàu           [ngù]          "here"
ú              [ngú]          "ellenség"
úa             [ngúa]         "beteg"
ói             [ngúi]         "betegség"
nī             [ni]           "ki, elő"
nenn           [nini]         "vagina"
nū             [nu]           "szív"
nnūy           [nuia]         "nagyszerű"
nūr            [nura]         "mosolyog (dorombol)"
nào            [nà]           "észrevesz"
nǎ             [nàa]          "tud"
niào           [nài]
nǎnn           [nàn]          "lény"
nái            [ná]           "anyám"
nẙ             [nì]           "eszik"
nīgh           [nìxu]         "étel"
nyê            [ní]           "szürkület, hajnal"
néi            [níi]          "tér"
nyéa           [nía]          "horizont"
nàu            [nù]           "*patkány"
nōgh           [nùxu]         "vándorpatkány"
nyô            [nú]           "szül"
nyóa           [núa]          "új"
nói            [núi]          "teremt"
qhā            [xa]           "vadászik"
qhī            [xi]           "esik (eső)"
qhìm           [ximù]         "zuhan"
qhio           [xiu]          "eső"
qhū            [xu]           "egér"
ghào           [xà]           "ki? mi?"
hái            [xá]           "fej"
hânn           [xán]          "homlok"
ghẙ            [xì]           "fut"
hê             [xí]           "ti"
ghàu           [xù]           "szag"
ghǔnn          [xùn]          "nyom"
qhǔ            [xùu]          "út"
húo            [xú]           "farok"
hûdh           [xúthá]        "mögött"
lā             [ra]           "ugrik"
lī             [ri]           "*éjszaka"
līnn           [rin]          "éjszaka"
lū             [ru]           "*gödör"
lua            [rua]          "fekete"
lūy            [ruia]         "mély, sötét"
lūng           [rung]         "mély"
lūnn           [run]          "gödör"
rào            [rà]           "szexel"
rǎ             [ràa]          "szex"
rái            [rá]           "dolog, tárgy"
lyē            [ráa]          "föld, talaj"
réi            [rái]          "kő"
ryẙ            [rì]           "kígyó"
ryǐng          [rìng]         "gonosz, ijesztő"
lyê            [rí]           "hús"
rǔ             [rù]           "száj"
ruó            [rú]           "bél"
syā            [sa]           "fúj; harag"
zyı            [si]           "bajusz"
syei           [sii]          "lát"
zyıa           [sia]          "megjelenik"
zyū            [su]           "levél"
zyua           [sua]          "gyógynövény"
zyū            [suu]          "nő"
zyǎ            [sà]           "veréb; lélek"
syái           [sá]           "nappal"
syêa           [sáa]          "fény"
syânn          [sán]          "csillag"
syẙ            [sì]           "hideg"
zyìu           [sìu]          "kevés, szűkös"
zyìa           [sìa]          "hideg, halott"
syê            [sí]           "fél"
syéi           [síi]          "félelem"
syàu           [sù]           "pisil"
zyúo           [sú]           "szopik"
thā            [tha]          "karom"
thī            [thi]          "fióka"
dhū            [thu]          "fa"
dhǎ            [thà]          "mászik"
thái           [thá]          "nincs"
dhẙ            [thì]          "hol?"
thê            [thí]          "orr"
dhàu           [thù]          "nem"
dhúo           [thú]          "test"
dhúa           [thúa]         "hasonlít"
mā             [wa]           "pocok"
mī             [wi]           "csont"
u              [wu]           "van"
ufy            [wufa]         "áll"
mào            [wà]           "megy"
mái            [wá]           "hall; fül"
wê             [wé]           "iszik"
mẙ             [wì]           "rigó"
wê             [wí]           "víz"
ù              [wù]           "hal"
úo             [wú]           "fog"
yā             [ya]           "mond"
yoa            [yaa]          "beszél"
yī             [yi]           "szem"
yū             [yu]           "kacsa"
ywann          [yuan]         "lúd"
yào            [yà]           "tüzelő nő"
yái            [yá]           "nyúl"
yẙ             [yì]           "*gyerek"
yìann          [yìan]         "gyerek"
yǐnn           [yìn]          "kamasz gyerek"
yìu            [yìu]          "kicsi"
yê             [yí]           "vonul, megy valahova"
yéa            [yía]          "fehér"
yàu            [yù]           "vér"
yô             [yú]           "*férfi"
               []
ngā            [nnga]         "hát"
ngānn          [nngan]        "hegy"
ngī            [nngi]         "alszik; gömb"
ngio           [nngiu]        "összetekeredik"
íao            [ngí yà]       "én"
myǎ            [mu yà]        "ő G1f"
myô            [mu yú]        "ő G1m"
myẙ            [mu yì]        "ő G2"
müyann        [mù yà na]     "ők"
nànn           [nà nà]        "gondolkodik, gondolat"
myànn          [mà nà]        "jó gondolat"
nǎgh           [na ñà]        "nyak"
emégh          [ñímíñ]        "jóllakott, elégedett"
ghǎng          [ñàñ]          "nyitott száj"
qhānn          [xan]          "vadász, ember"
nımái          [ni má]        "szülőhely, fészek"
nàm            [nà wà]        "elmúlik;múlt"
yáng           [ya ngí]       "név"
fīr            [fìra]         "küld"
ghīr           [ñira]         "forog"
áinn           [ñá na]        "tiszta"
áigh           [ñá ña]        "mosakszik"
wèo            [wàu]          "válni, lenni"
mùa            [mùa]
nèo            [nuà]          "észrevevés, látás"
yèo            [yuà]          "tekintet, nézés"
yéao           [yíà]          "Hold"
màe            [wài]          "forrás, kút, ér"
syer           [sá li]        "idő"
syányə         [sá ní]        "hajnal"
míā            [mí yàa]       "nő"
far            [faa ra]       "láb"
fyair          [fá ra]        "hegy, csúcs"
lürái         [ru rá]        "padló"
fàm            [fawà]         "megyek"
mmwàm          [mu fawà]      "megy G1-G2"
iwàm           [yi fawà]      "megy G3"
müfàm         [mù fawà]      "megy G4"
nnwàm          [na fawà]      "megy G5"
rwàm           [rá fawà]      "megy G6"
mmwáom         [mu faúwà]
iwáom          [yi faúwà]
müfáom        [mù faúwà]     "éppen megy G4"
nnwáom         [na faúwà]
rwáom          [rá faúwà]
mmwààm         [mu faàwà]
iwààm          [yi faàwà]
müfààm        [mù faàwà]     "elindul(t) G4"
nnwààm         [na faàwà]
rwààm          [rá faàwà]
mnáo           [mu nàú]
ináo           [yi nàú]
münáo         [mù nàú]       "éppen gondolkodik G4"
nnáo           [na nàú]
rnáo           [rá nàú]
mnǎ            [mu nàà]
inǎ            [yi nàà]
münǎ          [mù nàà]       "rágondol G4"
nnǎ            [na nàà]
rnǎ            [rá nàà]
fəmáth         [fawàthú]      "haladóvá válik > "
fəmàdh         [fawàthúa]     "megtetté válik > megtett (út)"
fəmath         [fawàthu]      "utazgatóvá válik"
nâdh           [nàthú]        "érzékeltté válik > érzékelt"
nǎdh           [nàthúa]       "észrevetté válik > észrevett"
nādh           [nàthu]        "észrevehető, érzékelhetővé válik "
nâdh           [nathú]        "halottá válik válik > érzékelt"
nādh           [nathúa]       "megöltté válik > észrevett"
nādh           [nathu]        "halandóvá válik "
