Ainǝwèo,prop,tisztának lenni,NGÁ NA WÙ,nyal öl áll,MD áinə wèo,Anubis isten (BR anafào > MA anəwào) népetimológiája,./csv/proper-names.csv
Dhūann,prop,erdei vadász,THU XA,fa vadászik,AN thu xan,,./csv/proper-names.csv
Ghuanèo,n,a Találkozás,QHÙ NÀ,,MA ghùa nèo,,./csv/misc.csv
Hía,prop,érdekes tárgy,XÍ YA,nézd! mond,AN xí ya,,./csv/proper-names.csv
Hôsyānn,prop,"sarkcsillag, vezérlő csillag",XÚ SÁ,farok ,BR húo sán,,./csv/proper-names.csv
Liào Nūr,prop,"mosolygó hajnal, mosolygó krémzöld",,,,,./csv/proper-names.csv
Màu,prop,"valaki, senki",MÙ,"valaki, ő",,< wào màu „senki fia”,./csv/proper-names.csv
Myǎla,prop,Myāla istennő,YÀ RA,nő ugrik [fenséges],BR myào lā,,./csv/religion.csv
Nîa Syáanng Myāol,prop,örök nyár országa,,,,,./csv/proper-names.csv
Ninnhôsyānn,prop,én vezércsillagom,,,BR nin xúo sán < Šum Ninxursañ,,./csv/proper-names.csv
Nnhôsyānn,prop,én vezércsillagom,,,BR nin xúo sán < Šum Ninxursañ,,./csv/proper-names.csv
Nummu Lyədhôgh,prop,keselyű/varjú az oszlopon ,,keselyű rajta oszlop,BR nummu lalā thôgh,,./csv/proper-names.csv
Ryamâeqh,prop,szürke folyó,,,BR ryá màiqhú,,./csv/proper-names.csv
Thəréngghanu,prop,sehol-hegyek,THÁ SÁ RI XÁ NGA,sehol hegy,BR thásáili-xáiñganū,,./csv/proper-names.csv
Umm Rwaqhǔy,epith,széttrollkodás öreganyja,,rágós szavak öreganyja,,,./csv/proper-names.csv
Ẏhainǒgh,prop,hajlékony patkány,,,BR xuhái nùqhu,,./csv/proper-names.csv
ai,v,nyal,NGÁ,,ngá,,./csv/root-words.csv
áigh,v,mosakszik,NGÁ NGA,nyal hát,PR ñá ña,,./csv/body.csv
áinn,adj,tiszta,NGÁ NGÍ,nyal én,PR ñá na,,./csv/misc.csv
âinn,n,"idegesség, kényelmetlenség",NGÁ NGÍ,mosakszik,MA áinnə,,./csv/soul.csv
aiyùgh,adv,legalább,YÙ,gyerek > kicsi,AN ai yùñ,,./csv/misc.csv
alàgh,adv,legfeljebb,RA,ugrik > nagy,AN alaxù,,./csv/misc.csv
amm,adv,vissza,WÀ,megy,wam,,./csv/post-positions.csv
amyāqh,adv,jobban,,,AN amyǎxa,,./csv/misc.csv
āo,v,nyit,NGÀ,harap,,,./csv/misc.csv
àong,v,kitátja a száját,NGÀ,harap,PR ñàñ,,./csv/body.csv
àong,adj,nyitott,NGÀ,harap,PR ñàñ,,./csv/misc.csv
asyéa,pref,öreg,SÍ,fél,MA aśéa # $,,./csv/society.csv
asyīqh,n,házi patkány,,,,,./csv/animals.csv
awəmmū,n,"gond, jövés-menés",WÀ,megy jön,AN afàmū,,./csv/soul.csv
